year,statefips,countyfips,ice_wanh_ba,ice_wanh_aa,ice_wanh_h
2015-2019,48,233,0.17881368162794054,0.17953528647712513,0.14533121662577572
2015-2019,48,235,0.1656891495601173,0.187683284457478,0.16715542521994134
2015-2019,48,237,0.20359848484848486,0.2077020202020202,0.17582070707070707
2015-2019,48,239,0.1781574130567419,0.19463087248322147,0.12873703477730322
2015-2019,48,241,0.11054421768707483,0.17037724180581323,0.16272418058132343
2015-2019,48,243,0.09392789373814042,0.09392789373814042,0.07115749525616698
2015-2019,48,245,0.02094893964812664,0.14159891598915988,0.1098743923947176
2015-2019,48,247,0.012300123001230012,0.012300123001230012,-0.34440344403444034
2015-2019,48,249,0.04158004158004158,0.046585046585046586,-0.22738122738122737
2015-2019,48,251,0.23193160006979585,0.23824812423660793,0.21540743325772116
2015-2019,48,253,0.15537219101123595,0.16695926966292135,0.1151685393258427
2015-2019,48,255,0.18519383465670247,0.17234936945352639,0.04997664642690332
2015-2019,48,257,0.2281993949756675,0.2564250953570959,0.2349072734446929
2015-2019,48,259,0.37535957342313897,0.3743071634041956,0.3597137444748474
2015-2019,48,261,0,0,-0.30456852791878175
2015-2019,48,263,0.28205128205128205,0.28205128205128205,0.2087912087912088
2015-2019,48,265,0.1797411577816194,0.1808157734896977,0.13778442274447508
2015-2019,48,267,0.1957375210319686,0.1957375210319686,0.11721817162086372
2015-2019,48,269,0.14285714285714285,0.14285714285714285,0.1038961038961039
2015-2019,48,271,0.08376963350785341,0.087509349289454,-0.14659685863874344
2015-2019,48,273,0.054952076677316296,0.06225467822911912,-0.16138749429484253
2015-2019,48,275,0.11345454545454546,0.1330909090909091,0.05818181818181818
2015-2019,48,277,0.08710150053049058,0.14232304350022734,0.12974283837720407
2015-2019,48,279,0.09771573604060914,0.11379018612521151,-0.01015228426395939
2015-2019,48,281,0.19789932112206993,0.19597796848981683,0.17381836813116433
2015-2019,48,283,0.04275011018069634,0.04275011018069634,-0.2908770383428823
2015-2019,48,285,0.20840787119856888,0.23869154101712242,0.21313570150779454
2015-2019,48,287,0.12491716368455931,0.17859509609012592,0.12624254473161034
2015-2019,48,289,0.1569144808319106,0.191370479590253,0.16219152568679188
2015-2019,48,291,0.13374018531611656,0.15402076433595058,0.11096639749934879
2015-2019,48,293,0.03557359436552465,0.12367195893517965,0.09681270144443119
2015-2019,48,295,0.19211409395973153,0.19211409395973153,0.12583892617449666
2015-2019,48,297,0.19509594882729211,0.19509594882729211,0.10287846481876332
2015-2019,48,299,0.23980179764922793,0.23957132979949297,0.23081355150956442
2015-2019,48,301,0.4666666666666667,0.4666666666666667,0.4666666666666667
2015-2019,48,303,0.14875581559283801,0.16889891442267024,0.09070562526434513
2015-2019,48,305,0.1341689879294336,0.14113277623026926,-0.03899721448467967
2015-2019,48,307,0.10467706013363029,0.11358574610244988,0.041361756283805284
2015-2019,48,309,0.11068914207031337,0.17247429320185667,0.11570835276611811
2015-2019,48,311,0.3,0.3,0.18518518518518517
2015-2019,48,313,0.11524947294448348,0.17943312251112672,0.15226048254860622
2015-2019,48,315,0.01823966065747614,0.12322375397667021,0.11113467656415695
2015-2019,48,317,0.2550177095631641,0.2550177095631641,0.18772136953955135
2015-2019,48,319,0.13738207547169812,0.13738207547169812,0.04716981132075472
2015-2019,48,321,0.07907279029462738,0.1286106296938186,0.040872328134026574
2015-2019,48,323,0.0132015227803021,0.0132015227803021,-0.31861721724180275
2015-2019,48,325,0.1741487055222548,0.18345874250733324,0.08442800663180716
2015-2019,48,327,0.08481262327416174,0.08481262327416174,-0.07889546351084813
2015-2019,48,329,0.24223656970420016,0.2568862065335626,0.19242780448436786
2015-2019,48,331,0.12061118335500651,0.15312093628088427,0.08365843086259211
2015-2019,48,333,0.15139664804469274,0.15027932960893856,0.08715083798882682
2015-2019,48,335,0.12342569269521411,0.14483627204030228,0.07724601175482787
2015-2019,48,337,0.18576923076923077,0.18615384615384614,0.1580769230769231
2015-2019,48,339,0.3160801212188332,0.3246479972212294,0.29356805219256077
2015-2019,48,341,0.11421357492945196,0.11243130848061786,0.036684984405168576
2015-2019,48,343,-0.01094391244870041,0.10279460621457885,0.09224154778190347
2015-2019,48,345,0.17586912065439672,0.17586912065439672,0.17586912065439672
2015-2019,48,347,0.04567074967378036,0.14543082038977986,0.11365071347392347
2015-2019,48,349,0.07492213634790633,0.14569154458415043,0.10987426462106356
2015-2019,48,351,0.04797742238946378,0.14788334901222955,0.13095014111006587
2015-2019,48,353,0.10819308304050305,0.1222489365637137,0.017014980580728686
2015-2019,48,355,0.10098801863253277,0.11121582683795413,-0.02936246147190829
2015-2019,48,357,0.12058570198105081,0.12058570198105081,0.02871088142405972
2015-2019,48,359,0.2255892255892256,0.2255892255892256,0.2053872053872054
2015-2019,48,361,0.2191897520035338,0.2551587051176879,0.24689215624408406
2015-2019,48,363,0.14675767918088736,0.15436372501218917,0.11019015114578254
2015-2019,48,365,0.11925437073057775,0.178534213268496,0.17332407085793677
2015-2019,48,367,0.3501118315523123,0.34997627815557014,0.3387931229243386
2015-2019,48,369,0.12519512956603185,0.12144864189822042,0.004370902279113331
2015-2019,48,371,0.0856958762886598,0.09299828178694158,-0.06443298969072164
2015-2019,48,373,0.1322020739754894,0.15748904785670714,0.1341984140187434
2015-2019,48,375,0.07978819287967553,0.10331230283911672,0.01595313204146012
2015-2019,48,377,0.07746755800235942,0.07746755800235942,-0.34644121116791193
2015-2019,48,379,0.1840646651270208,0.19584295612009237,0.18729792147806004
2015-2019,48,381,0.25048087630848975,0.2550162991759299,0.2268723804895827
2015-2019,48,383,0.15498154981549817,0.16605166051660517,0.09501845018450185
2015-2019,48,385,0.07371225577264653,0.07371225577264653,0.02930728241563055
2015-2019,48,387,0.05279065081603869,0.12794680636711667,0.09631271408422325
2015-2019,48,389,0.08726549175667993,0.09806708357021035,-0.09835133598635588
